circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates
C0215,8,1,linear,46,0.01792555468910543,0.006666539078897109,82.03125,16,23
C0216,8,1,ring,42,0.004873035961395982,0.0005661614157157897,85.9375,16,24
C0217,8,1,ring,43,0.011069148569296111,0.0036374830258096734,89.84375,16,24
C0218,8,1,ring,44,0.008413857132071996,0.002960598221463088,67.1875,16,24
C0219,8,1,ring,45,0.004519212425138417,0.0009345888003083634,86.71875,16,24
C0220,8,1,ring,46,0.011041707164580758,0.0035987094540892452,83.59375,16,24
C0221,8,2,linear,42,0.037984199587568726,0.00852596712440801,41.40625,32,46
C0222,8,2,linear,43,0.04124268300249922,0.009539961401301951,46.484375,32,46
C0223,8,2,linear,44,0.050891430855567736,0.01419989826041531,39.84375,32,46
C0224,8,2,linear,45,0.03258965268495276,0.007780896649409521,41.796875,32,46
C0225,8,2,linear,46,0.044265649134945705,0.011944232506593357,48.046875,32,46
C0226,8,2,ring,42,0.015327156288267831,0.001575212036440089,33.984375,32,48
C0227,8,2,ring,43,0.018509588013417677,0.0011880050598803466,31.25,32,48
C0228,8,2,ring,44,0.041378707268746304,0.005438356113496283,18.359375,32,48
C0229,8,2,ring,45,0.035421616253974095,0.004160273890911739,25.0,32,48
C0230,8,2,ring,46,0.023024751937378546,0.003186248890805351,37.890625,32,48
C0231,8,3,linear,42,0.046001728215306896,0.007691232421524022,34.89583333333333,48,69
C0232,8,3,linear,43,0.044249921392169815,0.007968826265626117,37.23958333333333,48,69
C0233,8,3,linear,44,0.039260031143703876,0.006008398922683109,34.63541666666667,48,69
C0234,8,3,linear,45,0.03449794485697696,0.006435797008561031,35.9375,48,69
C0235,8,3,linear,46,0.03709491591958011,0.005503637287552446,35.67708333333333,48,69
C0236,8,3,ring,42,0.026536922876653473,0.001978256436264305,14.322916666666666,48,72
C0237,8,3,ring,43,0.029012036691596212,0.0018922281034862269,14.84375,48,72
C0238,8,3,ring,44,0.02977089338448789,0.0019638172735499814,14.322916666666666,48,72
C0239,8,3,ring,45,0.02185007287801122,0.0013017952124647239,16.40625,48,72
C0240,8,3,ring,46,0.028379338542671866,0.002463838374586347,16.666666666666664,48,72
C0241,8,4,linear,42,0.03225352405087822,0.003628019393249484,29.6875,64,92
C0242,8,4,linear,43,0.029694014532205402,0.003618030184937691,32.421875,64,92
C0243,8,4,linear,44,0.03223481836562678,0.004511673050862964,31.640625,64,92
C0244,8,4,linear,45,0.03113050423991825,0.003543601600450707,30.859375,64,92
C0245,8,4,linear,46,0.03547922405222149,0.006718331743118786,33.3984375,64,92
C0246,8,4,ring,42,0.03577509569602172,0.0025261996696874585,10.546875,64,96
C0247,8,4,ring,43,0.03224090281577273,0.0018476811704880103,11.9140625,64,96
C0248,8,4,ring,44,0.03641134046261714,0.0031520848514934845,10.3515625,64,96
C0249,8,4,ring,45,0.034385806999137195,0.002425872561437154,11.328125,64,96
C0250,8,4,ring,46,0.025457001529307043,0.0014643957769611912,15.8203125,64,96
C0251,8,6,linear,42,0.03242516542705026,0.002667040322338611,23.177083333333336,96,138
C0252,8,6,linear,43,0.03204070871958765,0.002429543481418448,23.958333333333336,96,138
C0253,8,6,linear,44,0.031063875866153116,0.0023590817162917744,23.567708333333336,96,138
C0254,8,6,linear,45,0.03206668310887287,0.0032705936188992106,23.828125,96,138
C0255,8,6,linear,46,0.03637758260847699,0.0034497414857874455,23.828125,96,138
C0256,8,6,ring,42,0.03351248727775375,0.002048118360109031,7.8125,96,144
C0257,8,6,ring,43,0.031975679631481374,0.0018594078256033073,8.333333333333332,96,144
C0258,8,6,ring,44,0.033077856534175804,0.0018753003808012183,6.901041666666667,96,144
C0259,8,6,ring,45,0.030991800673528885,0.001757209919244004,8.333333333333332,96,144
C0260,8,6,ring,46,0.032861195510355955,0.001817893542595301,6.770833333333333,96,144
C0261,8,8,linear,42,0.0320799194911262,0.0021324519061948948,18.06640625,128,184
C0262,8,8,linear,43,0.02863755252715835,0.0017280784437928032,20.80078125,128,184
C0263,8,8,linear,44,0.033503287869154894,0.002548114476439746,19.140625,128,184
C0264,8,8,linear,45,0.030493756120981937,0.0017937315757642863,17.87109375,128,184
C0265,8,8,linear,46,0.030938445499660974,0.0020122898552090295,19.3359375,128,184
C0266,8,8,ring,42,0.03319780740943798,0.0018526067698496273,6.54296875,128,192
C0267,8,8,ring,43,0.03186022769304455,0.0017929967172979325,7.421875,128,192
C0268,8,8,ring,44,0.03365980995396743,0.0019548062094849874,6.0546875,128,192
C0269,8,8,ring,45,0.030892644149696648,0.0016900809484740567,6.8359375,128,192
C0270,8,8,ring,46,0.03320054705477621,0.0018556299653911985,6.0546875,128,192
C0271,8,10,linear,42,0.03063150050322514,0.001767398918331667,15.312500000000002,160,230
C0272,8,10,linear,43,0.031066773851013557,0.0018123613410796914,14.921875000000002,160,230
C0273,8,10,linear,44,0.028946783965543323,0.0015949057984926153,15.0,160,230
C0274,8,10,linear,45,0.028948286495752207,0.001627720013513205,16.015625,160,230
C0275,8,10,linear,46,0.030247372574980325,0.0018061512677105206,15.703125000000002,160,230
C0276,8,10,ring,42,0.03181783489624745,0.0017251362114371915,5.390625,160,240
C0277,8,10,ring,43,0.03122855218409203,0.0016483009758764453,6.25,160,240
C0278,8,10,ring,44,0.033588837633360215,0.001919924125473304,5.0,160,240
C0279,8,10,ring,45,0.03368954326440678,0.0019241095321573254,5.625,160,240
C0280,8,10,ring,46,0.0325279993628337,0.0018164944206192335,5.3125,160,240
C0281,10,1,linear,42,0.007977187731517942,0.004570035849936098,90.0,20,29
C0282,10,1,linear,43,0.011799469139626454,0.005533667733203802,92.5,20,29
C0283,10,1,linear,44,0.00887364805721375,0.0044880744691856,83.5,20,29
C0284,10,1,linear,45,0.005868995511045931,0.0016797548772273362,90.5,20,29
C0285,10,1,linear,46,0.01147250109150424,0.004276845509455595,88.5,20,29
C0286,10,1,ring,42,0.003115096186323056,0.00036335292525727634,91.0,20,30
C0287,10,1,ring,43,0.007083873804379483,0.0023286722932562955,93.5,20,30
C0288,10,1,ring,44,0.005142571342760376,0.0018989631471994176,84.0,20,30
C0289,10,1,ring,45,0.0028900421882965084,0.0005995674237291078,91.5,20,30
C0290,10,1,ring,46,0.0070666918804224545,0.00231101224760333,89.5,20,30
C0291,10,2,linear,42,0.022128521280985892,0.004451513366685506,48.25,40,58
